Key,Game_Date,Game_Result,At_Bats,Runs_Scored,Hits,Home_Runs,Runs_Batted_In
1,2021-10-02,1,5,3,3,3,7
2,2021-09-12,1,4,3,3,3,5
3,2021-08-01,0,4,3,4,3,5
4,2021-07-31,0,4,4,4,3,6
5,2021-07-08,1,5,3,3,3,5
6,2021-06-25,1,5,4,4,3,4
7,2021-06-20,1,4,3,3,3,4
8,2021-06-19,0,4,3,4,3,4
9,2021-06-06,1,4,3,3,3,6
10,2021-05-21,1,4,4,4,3,3
11,2021-05-18,1,4,3,3,3,4
12,2021-04-27,1,4,3,3,3,7
13,2021-04-11,1,6,4,4,3,4
14,2021-04-06,0,6,3,4,3,4
15,2021-10-03,1,5,3,4,2,4
16,2021-10-03,0,4,2,2,2,3
17,2021-10-03,1,4,3,3,2,5
18,2021-10-01,1,3,2,2,2,5
19,2021-10-01,1,4,3,3,2,2
20,2021-10-01,1,4,2,2,2,2
21,2021-09-30,1,3,2,2,2,2
22,2021-09-30,1,4,2,3,2,2
23,2021-09-30,1,3,2,2,2,4
24,2021-09-30,0,5,3,3,2,2
25,2021-09-30,1,3,2,2,2,3
26,2021-09-30,1,5,2,2,2,3
27,2021-09-29,1,4,2,3,2,2
28,2021-09-29,1,4,2,2,2,3
29,2021-09-28,1,4,2,2,2,3
30,2021-09-27,1,4,2,2,2,4
31,2021-09-27,1,5,2,2,2,6
32,2021-09-26,1,4,2,2,2,2
33,2021-09-25,0,4,2,2,2,2
34,2021-09-25,1,5,2,3,2,4
35,2021-09-24,1,4,2,3,2,3
36,2021-09-23,1,4,2,3,2,4
37,2021-09-23,1,3,2,3,2,2
38,2021-09-23,0,4,2,2,2,5
39,2021-09-23,1,5,2,3,2,3
40,2021-09-22,1,4,3,3,2,3
41,2021-09-22,1,4,4,3,2,4
42,2021-09-21,0,5,2,3,2,2
43,2021-09-20,1,4,3,2,2,3
44,2021-09-20,1,3,2,3,2,3
45,2021-09-18,1,5,2,2,2,2
46,2021-09-18,1,3,2,2,2,2
47,2021-09-17,1,4,2,2,2,4
48,2021-09-17,1,4,3,3,2,2
49,2021-09-17,1,4,2,2,2,5
50,2021-09-15,1,4,2,2,2,4
51,2021-09-15,0,4,2,2,2,3
52,2021-09-14,0,4,2,2,2,2
53,2021-09-13,1,5,4,2,2,3
54,2021-09-13,1,5,3,4,2,5
55,2021-09-12,1,5,2,3,2,2
56,2021-09-12,1,3,5,2,2,7
57,2021-09-12,1,4,2,3,2,5
58,2021-09-12,1,5,2,2,2,3
59,2021-09-12,1,5,2,2,2,3
60,2021-09-11,0,5,2,2,2,3
61,2021-09-11,1,5,2,3,2,3
62,2021-09-11,1,4,2,2,2,3
63,2021-09-10,1,3,2,2,2,3
64,2021-09-10,1,5,2,2,2,2
65,2021-09-10,1,5,3,4,2,5
66,2021-09-09,1,2,2,2,2,2
67,2021-09-07,1,4,2,3,2,4
68,2021-09-07,1,5,2,2,2,3
69,2021-09-07,1,4,2,2,2,3
70,2021-09-07,1,5,3,4,2,4
71,2021-09-07,0,2,2,2,2,4
72,2021-09-07,1,4,3,3,2,2
73,2021-09-06,1,5,3,3,2,2
74,2021-09-06,1,5,2,2,2,5
75,2021-09-06,1,5,2,3,2,3
76,2021-09-05,1,5,2,3,2,5
77,2021-09-05,0,3,2,3,2,3
78,2021-09-05,1,5,2,4,2,4
79,2021-09-05,0,4,2,2,2,6
80,2021-09-04,1,5,2,2,2,6
81,2021-09-04,0,4,2,2,2,5
82,2021-09-03,1,5,2,2,2,3
83,2021-09-03,0,4,2,2,2,3
84,2021-09-03,1,5,2,2,2,3
85,2021-09-01,1,3,3,2,2,6
86,2021-09-01,1,2,2,2,2,3
87,2021-09-01,1,3,2,2,2,4
88,2021-08-31,1,5,2,5,2,5
89,2021-08-31,1,5,2,2,2,3
90,2021-08-30,1,4,2,2,2,4
91,2021-08-30,0,4,2,2,2,3
92,2021-08-29,1,4,3,2,2,3
93,2021-08-29,1,4,2,3,2,6
94,2021-08-29,0,4,2,2,2,3
95,2021-08-29,0,5,2,2,2,2
96,2021-08-28,1,4,2,2,2,2
97,2021-08-28,1,3,3,2,2,2
98,2021-08-27,0,4,3,2,2,4
99,2021-08-27,1,6,2,4,2,8
100,2021-08-26,0,5,2,3,2,4
